,Manufacturer,Model Name,Model Name Cleaned,Category,Screen Size,Screen,Touchscreen,Screen_HD,Screen Quality,CPU,CPU Brand,CPU Model,CPU_Speed,RAM,Storage,Total Storage in TB,GPU,GPU Brand,GPU Model,Operating System,Weight,Weight_LBS,Price,Price_USD
0,Apple,MacBook Pro,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,0,0,2560x1600,Intel Core i5 2.3GHz,Intel,Core i5,2.3,8,128GB SSD,0.125,Intel Iris Plus Graphics 640,Intel,Iris Plus Graphics 640,Mac OS,1.37,3.02033351,11912523.48,145375.1982
1,Apple,Macbook Air,Macbook Air,Ultrabook,13.3,1440x900,0,0,1440x900,Intel Core i5 1.8GHz,Intel,Core i5,1.8,8,128GB Flash Storage,0.125,Intel HD Graphics 6000,Intel,HD Graphics 6000,Mac OS,1.34,2.95419482,7993374.48,97547.6272
2,HP,250 G6,250 G6,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,8,256GB SSD,0.25,Intel HD Graphics 620,Intel,HD Graphics 620,No OS,1.86,4.10059878,5112900,62395.58329
3,Apple,MacBook Pro,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,0,0,2880x1800,Intel Core i7 2.7GHz,Intel,Core i7,2.7,16,512GB SSD,0.5,AMD Radeon Pro 455,AMD,Radeon Pro 455,Mac OS,1.83,4.03446009,22563005.4,275348.9962
4,Apple,MacBook Pro,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,0,0,2560x1600,Intel Core i5 3.1GHz,Intel,Core i5,3.1,8,256GB SSD,0.25,Intel Iris Plus Graphics 650,Intel,Iris Plus Graphics 650,Mac OS,1.37,3.02033351,16037611.2,195715.9548
5,Acer,Aspire 3,Aspire 3,Notebook,15.6,1366x768,0,0,1366x768,AMD A9-Series 9420 3GHz,AMD,A9-Series 9420,3,4,500GB HDD,0.48828125,AMD Radeon R5,AMD,Radeon R5,Windows,2.1,4.6297083,3556800,43405.62316
6,Apple,MacBook Pro,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,0,0,2880x1800,Intel Core i7 2.2GHz,Intel,Core i7,2.2,16,256GB Flash Storage,0.25,Intel Iris Pro Graphics,Intel,Iris Pro Graphics,Mac OS,2.04,4.49743092,19028613.24,232216.8285
7,Apple,Macbook Air,Macbook Air,Ultrabook,13.3,1440x900,0,0,1440x900,Intel Core i5 1.8GHz,Intel,Core i5,1.8,8,256GB Flash Storage,0.25,Intel HD Graphics 6000,Intel,HD Graphics 6000,Mac OS,1.34,2.95419482,10303160.4,125735.2389
8,Asus,ZenBook UX430UN,ZenBook UX430UN,Ultrabook,14,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,16,512GB SSD,0.5,Nvidia GeForce MX150,Nvidia,GeForce MX150,Windows,1.3,2.8660099,13293540,162228.5165
9,Acer,Swift 3,Swift 3,Ultrabook,14,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.6,3.5273968,6846840,83555.82458
10,HP,250 G6,250 G6,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,4,500GB HDD,0.48828125,Intel HD Graphics 620,Intel,HD Graphics 620,No OS,1.86,4.10059878,3502558.8,42743.6874
11,HP,250 G6,250 G6,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,500GB HDD,0.48828125,Intel HD Graphics 520,Intel,HD Graphics 520,No OS,1.86,4.10059878,3067651.08,37436.26483
