,Manufacturer,Model Name,Model Name Cleaned,Category,Screen Size,Screen,Touchscreen,Screen_HD,Screen Quality,CPU,CPU Brand,CPU Model,CPU_Speed,RAM,Storage,Total Storage in TB,GPU,GPU Brand,GPU Model,Operating System,Weight,Weight_LBS,Price,Price_USD
0,1,300,297,4,13.3,23,0,0,10,65,1,40,2.3,8,2,0.125,58,2,60,3,1.37,3.02033351,11912523.48,145375.1982
1,1,301,298,4,13.3,1,0,0,1,63,1,40,1.8,8,0,0.125,51,2,53,3,1.34,2.95419482,7993374.48,97547.6272
2,7,50,50,3,15.6,8,0,1,3,74,1,46,2.5,8,15,0.25,53,2,55,4,1.86,4.10059878,5112900.0,62395.58329
3,1,300,297,4,15.4,25,0,0,12,85,1,54,2.7,16,28,0.5,9,0,80,3,1.83,4.03446009,22563005.4,275348.9962
4,1,300,297,4,13.3,23,0,0,10,67,1,40,3.1,8,15,0.25,59,2,61,3,1.37,3.02033351,16037611.2,195715.9548
5,0,58,58,3,15.6,0,0,0,0,14,0,11,3.0,4,25,0.48828125,17,0,88,5,2.1,4.6297083,3556800.0,43405.62316
6,1,300,297,4,15.4,25,0,0,12,84,1,54,2.2,16,14,0.25,60,2,62,3,2.04,4.49743092,19028613.24,232216.8285
7,1,301,298,4,13.3,1,0,0,1,63,1,40,1.8,8,14,0.25,51,2,53,3,1.34,2.95419482,10303160.4,125735.2389
8,2,607,582,4,14.0,8,0,1,3,106,1,70,1.8,16,28,0.5,98,3,40,5,1.3,2.8660099,13293540.0,162228.5165
9,0,429,426,4,14.0,15,0,1,3,83,1,53,1.6,8,15,0.25,61,2,109,5,1.6,3.5273968,6846840.0,83555.82458
10,7,50,50,3,15.6,0,0,0,0,74,1,46,2.5,4,25,0.48828125,53,2,55,4,1.86,4.10059878,3502558.8,42743.6874
11,7,50,50,3,15.6,8,0,1,3,56,1,36,2.0,4,25,0.48828125,47,2,49,4,1.86,4.10059878,3067651.08,37436.26483
12,1,300,297,4,15.4,25,0,0,12,86,1,54,2.8,16,15,0.25,10,0,81,3,1.83,4.03446009,21696213.24,264771.0458
13,4,239,236,3,15.6,8,0,1,3,56,1,36,2.0,4,15,0.25,24,0,95,5,2.2,4.8501706,4436218.8,54137.66348
14,1,298,295,4,12.0,22,0,0,7,51,1,33,1.2,8,15,0.25,52,2,54,3,0.92,2.02825316,11225260.8,136988.1467
15,1,300,297,4,13.3,23,0,0,10,65,1,40,2.3,8,15,0.25,58,2,60,3,1.37,3.02033351,13502946.6,164784.0226
16,4,239,236,3,15.6,8,0,1,3,97,1,62,2.7,8,15,0.25,24,0,95,5,2.2,4.8501706,6624540.0,80842.97313
17,1,300,297,4,15.4,25,0,0,12,87,1,54,2.9,16,28,0.5,11,0,82,3,1.83,4.03446009,25413336.0,310133.1775
18,10,209,206,3,15.6,8,0,1,3,59,1,38,2.4,8,8,1.0,72,3,14,4,2.2,4.8501706,4437108.0,54148.51489
19,4,575,550,4,13.3,13,1,1,3,83,1,53,1.6,8,2,0.125,61,2,109,5,1.22,2.68964006,8705268.0,106235.2627
20,2,542,519,2,11.6,0,0,0,0,30,1,16,1.44,2,22,0.03125,41,2,43,5,0.98,2.16053054,1706374.8,20823.84771
21,10,291,288,1,15.6,15,0,1,3,77,1,47,2.5,8,3,1.125,75,3,17,5,2.5,5.5115575,8883108.0,108405.5438
22,7,51,51,3,15.6,0,0,0,0,22,0,79,1.5,4,25,0.48828125,12,0,83,4,1.86,4.10059878,2294136.0,27996.62694
23,4,244,241,0,13.3,7,1,1,3,83,1,53,1.6,8,15,0.25,61,2,109,5,1.62,3.57148926,7282548.0,88873.01341
24,7,8,8,4,15.6,8,0,1,3,106,1,70,1.8,8,15,0.25,53,2,55,5,1.91,4.21082993,5859828.0,71510.76415
25,4,239,236,3,15.6,0,0,0,0,56,1,36,2.0,4,8,1.0,47,2,49,5,2.3,5.0706329,3722546.88,45428.3252
26,1,299,296,4,13.3,1,0,0,1,62,1,40,1.6,8,0,0.125,51,2,53,3,1.35,2.97624105,9772308.0,119256.9496
27,4,247,244,3,15.6,8,0,1,3,83,1,53,1.6,8,15,0.25,7,0,78,5,2.2,4.8501706,7113600.0,86811.24631
